SITE_ID,NAME_ENG,DESIG,forest_loss_ha,agriculture_gain_ha,urban_gain_ha,forest_2017_ha,forest_2024_ha,total_area_ha,forest_loss_pct,cloud_2017_ha,cloud_2024_ha,cloud_diff_ha,valid_common_ha,valid_common_pct,excluded_pct,cloud_contamination_flag
20069,Cuenca Alta y Media del Río Pao,Zona Protectora (ZP),43375.98,93.33,0.0,140647.06,97271.08,273364.53,30.84,168.0,0.11,-167.89,273364.53,99.94,0.06,False
146676,Delta del Orinoco (Mariusa),Parque Nacional (PN),36268.58,0.0,0.0,275619.97,239351.39,320453.9,13.16,53.61,1.77,-51.84,320453.9,99.98,0.02,False
20070,Macizo Montañoso del Turimiquire,Zona Protectora (ZP),32504.63,0.0,0.0,366840.63,334336.0,508535.4,8.86,840.76,73.24,-767.52,508535.4,99.82,0.18,False
20077,Cuenca Alta del Río Cojedes,Zona Protectora (ZP),30948.94,0.0,1362.29,331805.69,300856.75,521089.81,9.33,2793.22,232.22,-2561.0,521089.81,99.43,0.57,False
20088,Zona Sur Lago de Maracaibo,Reserva Nacional Hidraúlica (RNH),28539.54,0.0,2230.62,454253.37,425713.83,856872.73,6.28,40305.8,21196.27,-19109.53,856872.73,95.16,4.84,False
20067,Piedemonte Norte Cordillera Andina y Serranía Misoa Trujillo,Zona Protectora (ZP),28297.61,0.0,62.64,420199.67,391902.06,642072.94,6.73,6992.98,2410.24,-4582.74,642072.94,98.86,1.14,False
555705237,"Distritos Obispos, Sosa, Rojas y Bolívar del Estado Barinas, y Guanare y Guanarito del Estado Portuguesa (Guanare - Masparro)",Reserva Nacional Hidraúlica (RNH),26331.28,15137.4,1976.02,387241.47,360910.19,899120.02,6.8,11066.7,14007.28,2940.58,899120.02,97.79,2.21,False
101093,Márgenes del Río Guárico,Área Boscosa Bajo Protección (ABBP),22453.64,3877.22,19.02,67482.14,45028.5,165486.95,33.27,37.11,0.0,-37.11,165486.95,99.98,0.02,False
10772,Sur del Estado Bolívar,Zona Protectora (ZP),21787.47,1903.89,98.57,4561287.5,4539500.03,4865548.9,0.48,41861.73,3377.84,-38483.89,4865548.9,99.13,0.87,False
101089,Pueblito,Área Boscosa Bajo Protección (ABBP),20602.44,930.87,6.01,58942.29,38339.85,97162.85,34.95,0.0,0.0,0.0,97162.85,100.0,0.0,False
101111,Barbacas,Área Boscosa Bajo Protección (ABBP),19858.22,10687.01,30.13,65650.65,45792.43,222493.17,30.25,6.88,0.0,-6.88,222493.17,100.0,0.0,False
101113,Márgenes del Río Güere,Área Boscosa Bajo Protección (ABBP),18408.5,0.0,0.0,49848.97,31440.47,93188.82,36.93,9.7,0.0,-9.7,93188.82,99.99,0.01,False
20078,Cuencas de los Ríos Guanare - Boconó - Tucupido - Masparro - La Yuca,Zona Protectora (ZP),17386.6,0.0,1002.08,296594.25,279207.65,410591.02,5.86,8371.88,8641.12,269.24,410591.02,96.72,3.28,False
10779,Imataca,Reserva Forestal (RF),17129.81,8.44,2952.9,3627722.57,3610592.76,3715871.45,0.47,3232.54,368.42,-2864.12,3715871.45,99.91,0.09,False
20081,"Sur - Este del Lago de Maracaibo, Santo Domingo - Motatan",Zona Protectora (ZP),17038.37,0.0,1054.74,210862.52,193824.15,362923.55,8.08,2774.36,2460.58,-313.78,362923.55,98.84,1.16,False
101135,Tapo - Caparo,Parque Nacional (PN),15172.58,0.0,9.56,145757.86,130585.28,180974.88,10.41,25479.76,2503.61,-22976.15,180974.88,87.47,12.53,True
20073,Macizo de Nirgua,Zona Protectora (ZP),15009.14,0.0,106.53,129874.46,114865.32,152840.31,11.56,916.31,20.7,-895.61,152840.31,99.39,0.61,False
20091,"Distritos Maturín. Cedeño, Piar y Caripe del Estado Monagas y de los Distritos Mates y Rivero del Estado Sucre",Reserva Nacional Hidraúlica (RNH),14545.98,0.0,341.23,93878.06,79332.08,189593.22,15.49,230.51,39.23,-191.28,189593.22,99.86,0.14,False
101107,El Baúl - Corralito,Área Boscosa Bajo Protección (ABBP),14281.81,0.0,0.0,66098.05,51816.24,120755.34,21.61,0.0,0.0,0.0,120755.34,100.0,0.0,False
10784,Ticoporo,Reserva Forestal (RF),13013.4,17995.07,519.27,26689.45,13676.05,187841.96,48.76,417.75,0.05,-417.7,187841.96,99.78,0.22,False
101109,Río Los Remedios,Área Boscosa Bajo Protección (ABBP),12970.01,0.0,0.0,68577.69,55607.68,81002.34,18.91,2.45,0.0,-2.45,81002.34,100.0,0.0,False
101100,Río Orituco,Área Boscosa Bajo Protección (ABBP),12682.05,4513.4,30.53,23837.91,11155.86,98804.18,53.2,3.52,0.0,-3.52,98804.18,100.0,0.0,False
555705215,San Pedro,Reserva Forestal (RF),12561.22,0.0,207.57,726818.32,714257.1,765067.39,1.73,3221.1,131.48,-3089.62,765067.39,99.57,0.43,False
10787,La Paragua,Reserva Forestal (RF),10885.46,0.9,26.72,663474.23,652588.77,824217.87,1.64,22702.14,1476.54,-21225.6,824217.87,97.31,2.69,False
67615,Tirgua (General Manuel Manrique),Parque Nacional (PN),10659.57,0.1,0.0,81981.6,71322.03,90218.69,13.0,71.72,1.78,-69.94,90218.69,99.92,0.08,False
10783,Caparo,Reserva Forestal (RF),10638.03,1035.77,207.49,53947.99,43309.96,175223.12,19.72,1.39,0.0,-1.39,175223.12,100.0,0.0,False
20076,Cuenca Alta de los Ríos Matícora y Cocuiza,Zona Protectora (ZP),10425.53,0.0,0.0,160361.47,149935.94,259190.48,6.5,18.84,0.07,-18.77,259190.48,99.99,0.01,False
313,Canaima,Parque Nacional (PN),10219.59,0.0,96.47,1910213.76,1899994.17,2762033.22,0.53,62839.51,10303.82,-52535.69,2762033.22,97.71,2.29,False
61899,Cuenca Alta y Media del Río Orituco,Zona Protectora (ZP),9613.77,0.0,0.0,16441.75,6827.98,41061.25,58.47,18.33,0.02,-18.31,41061.25,99.96,0.04,False
10774,"Suelos, Bosques y Aguas en la cuenca del río Guárico",Zona Protectora (ZP),9597.49,0.0,0.0,16582.36,6984.87,37602.24,57.88,0.38,0.0,-0.38,37602.24,100.0,0.0,False
10780,Caura,Parque Nacional (PN),9325.19,0.0,2.96,6895019.72,6885694.53,7068601.78,0.14,474920.94,27586.44,-447334.5,7068601.78,93.62,6.38,True
32731,Sierra de Aroa,Zona Protectora (ZP),9213.56,0.0,79.74,105693.11,96479.55,112613.28,8.72,1848.81,422.74,-1426.07,112613.28,98.11,1.89,False
20074,Sierra de Bobare,Zona Protectora (ZP),8686.73,457.52,74.65,85059.42,76372.69,100841.2,10.21,3.12,2.22,-0.9,100841.2,99.99,0.01,False
101116,Chivapure - Cuchivero,Área Boscosa Bajo Protección (ABBP),7896.93,0.0,0.0,543526.98,535630.05,610277.55,1.45,3124.18,222.61,-2901.57,610277.55,99.48,0.52,False
10776,Del Área Metropolitana de Caracas,Zona Protectora (ZP),7426.9,0.0,755.37,54869.46,47442.56,64622.59,13.54,2327.94,219.15,-2108.79,64622.59,96.38,3.62,False
101097,Achaguas,Área Boscosa Bajo Protección (ABBP),7101.86,1356.32,31.31,23604.07,16502.21,90543.98,30.09,0.06,0.0,-0.06,90543.98,100.0,0.0,False
30023,Ciénagas de Juan Manuel,Parque Nacional (PN),6571.21,0.0,0.0,141024.31,134453.1,168824.63,4.66,92.9,0.93,-91.97,168824.63,99.94,0.06,False
10786,Selva de Guarapiche,Reserva Forestal (RF),6329.0,0.01,0.0,287638.32,281309.32,357894.77,2.2,32.17,0.01,-32.16,357894.77,99.99,0.01,False
101106,Caño Caballo,Área Boscosa Bajo Protección (ABBP),5924.27,110.91,0.56,16707.73,10783.46,54794.19,35.46,0.38,0.0,-0.38,54794.19,100.0,0.0,False
555705212,Cuenca Alta del Río Tocuyo Sector Dos Cerrito,Zona Protectora (ZP),5715.93,0.0,336.85,52000.96,46285.03,72481.12,10.99,94.0,296.26,202.26,72481.12,99.48,0.52,False
315,Aguaro - Guariquito,Parque Nacional (PN),5247.67,699.61,0.0,30910.34,25662.67,580070.53,16.98,3.58,0.0,-3.58,580070.53,100.0,0.0,False
20068,Región Lago de Maracaibo (Sierra de Perijá) (Polígonos 1 y 2),Zona Protectora (ZP),5170.14,0.0,0.0,192634.41,187464.27,256577.67,2.68,164.25,0.0,-164.25,256577.67,99.94,0.06,False
10775,"Cuenca de los Ríos Guasare, Socuy y Cachiri",Zona Protectora (ZP),5012.77,0.0,0.0,268192.95,263180.18,301207.11,1.87,2494.45,109.46,-2384.99,301207.11,99.16,0.84,False
101099,Santo Domingo,Área Boscosa Bajo Protección (ABBP),4977.85,5143.83,33.2,36169.82,31191.97,148409.12,13.76,0.76,0.0,-0.76,148409.12,100.0,0.0,False
323,Henri Pittier,Parque Nacional (PN),4946.71,0.0,52.08,92286.78,87340.07,105633.73,5.36,1470.42,126.3,-1344.12,105633.73,98.56,1.44,False
32733,Cuenta Alta y Media Río Machango,Zona Protectora (ZP),4913.61,0.0,0.0,40802.91,35889.3,58326.79,12.04,1.76,0.25,-1.51,58326.79,100.0,0.0,False
321,Sierra Nevada,Parque Nacional (PN),4871.78,0.0,0.0,146515.98,141644.2,235389.08,3.33,29034.22,27973.19,-1061.03,235389.08,85.13,14.87,False
101124,Piedemonte Portuguesa,Área Boscosa Bajo Protección (ABBP),4727.03,0.0,0.0,27034.34,22307.31,53678.28,17.49,3.02,0.0,-3.02,53678.28,99.99,0.01,False
555705211,Cuenca Alta del Río Tocuyo Sector Curarigua,Zona Protectora (ZP),4547.74,0.0,172.0,37912.29,33364.55,74741.06,12.0,61.21,187.11,125.9,74741.06,99.68,0.32,False
101121,Pedernales,Área Boscosa Bajo Protección (ABBP),4431.72,0.0,0.0,234660.88,230229.16,253666.74,1.89,140.15,0.03,-140.12,253666.74,99.94,0.06,False
10769,Burro Negro,Reserva Nacional Hidraúlica (RNH),4111.83,0.0,0.0,44922.59,40810.76,53760.41,9.15,0.0,0.0,0.0,53760.41,100.0,0.0,False
101160,Burro Negro,Zona Protectora (ZP),4111.83,0.0,0.0,44922.59,40810.76,53760.41,9.15,0.0,0.0,0.0,53760.41,100.0,0.0,False
101088,Tiznados,Área Boscosa Bajo Protección (ABBP),3981.26,425.62,0.02,9583.52,5602.26,20124.19,41.54,0.0,0.0,0.0,20124.19,100.0,0.0,False
325,Guatopo,Parque Nacional (PN),3970.81,0.0,2.04,114277.56,110306.75,118169.92,3.47,3784.67,15.4,-3769.27,118169.92,96.89,3.11,False
101103,San Francisco de la Paragua,Área Boscosa Bajo Protección (ABBP),3924.23,146.5,2.77,48605.89,44681.66,68307.06,8.07,388.04,0.65,-387.39,68307.06,99.43,0.57,False
101136,Río Viejo - San Camilo,Parque Nacional (PN),3813.87,577.7,34.66,24814.1,21000.23,42518.01,15.37,0.53,0.0,-0.53,42518.01,100.0,0.0,False
10782,San Camilo,Reserva Forestal (RF),3773.78,1591.34,135.08,28846.39,25072.61,66855.2,13.08,1.44,0.0,-1.44,66855.2,100.0,0.0,False
318,Perijá,Parque Nacional (PN),3748.14,0.0,3.29,250370.07,246621.93,269757.99,1.5,15228.97,1215.75,-14013.22,269757.99,94.41,5.59,False
