SITE_ID,total_pixels,cloud_2017_pixels,cloud_2024_pixels,cloud_2017_ha,cloud_2024_ha,cloud_diff_ha,valid_common_pixels,valid_common_ha,valid_common_pct,excluded_pct,cloud_contamination_flag
307,1186545,3885,122,38.85,1.22,-37.63,1182550,11825.5,99.66,0.34,False
308,149449,0,0,0.0,0.0,0.0,149449,1494.49,100.0,0.0,False
309,197630,121,0,1.21,0.0,-1.21,197509,1975.0900000000001,99.94,0.06,False
310,262288,0,0,0.0,0.0,0.0,262288,2622.88,100.0,0.0,False
311,164645,1770,4,17.7,0.04,-17.66,162874,1628.74,98.92,1.08,False
313,282666998,6283951,1030382,62839.51,10303.82,-52535.69,276203322,2762033.22,97.71,2.29,False
315,58007411,358,0,3.58,0.0,-3.58,58007053,580070.53,100.0,0.0,False
317,26867523,3704,10293,37.04,102.93,65.89,26854016,268540.16000000003,99.95,0.05,False
318,28574025,1522897,121575,15228.970000000001,1215.75,-14013.220000000001,26975799,269757.99,94.41,5.59,False
321,27651099,2903422,2797319,29034.22,27973.190000000002,-1061.03,23538908,235389.08000000002,85.13,14.87,False
322,13577079,666536,1482002,6665.360000000001,14820.02,8154.66,11847283,118472.83,87.26,12.74,True
323,10718218,147042,12630,1470.42,126.3,-1344.1200000000001,10563373,105633.73,98.56,1.44,False
324,4478183,361,125,3.61,1.25,-2.36,4477746,44777.46,99.99,0.01,False
325,12195786,378467,1540,3784.67,15.4,-3769.27,11816992,118169.92,96.89,3.11,False
327,8111052,106445,1924,1064.45,19.240000000000002,-1045.21,8003585,80035.85,98.68,1.32,False
328,3485281,169567,3215,1695.67,32.15,-1663.52,3314474,33144.74,95.1,4.9,False
330,2424753,62565,5954,625.65,59.54,-566.11,2356984,23569.84,97.21,2.79,False
331,1892409,0,0,0.0,0.0,0.0,1892409,18924.09,100.0,0.0,False
332,1849985,118,63,1.18,0.63,-0.55,1849812,18498.12,99.99,0.01,False
333,6172839,153117,11955,1531.17,119.55000000000001,-1411.6200000000001,6009247,60092.47,97.35,2.65,False
334,1469333,6684,542,66.84,5.42,-61.42,1462316,14623.16,99.52,0.48,False
335,2493205,5990,41043,59.9,410.43,350.53000000000003,2446256,24462.56,98.12,1.88,False
336,1102136,0,0,0.0,0.0,0.0,1102136,11021.36,100.0,0.0,False
337,384298,350,78,3.5,0.78,-2.72,383870,3838.7000000000003,99.89,0.11,False
338,741337,13574,168,135.74,1.68,-134.06,727647,7276.47,98.15,1.85,False
2245,562409,1,0,0.01,0.0,-0.01,562408,5624.08,100.0,0.0,False
2246,1665929,0,0,0.0,0.0,0.0,1665929,16659.29,100.0,0.0,False
2247,857933,107,42,1.07,0.42,-0.65,857784,8577.84,99.98,0.02,False
4363,4451,0,0,0.0,0.0,0.0,4451,44.51,100.0,0.0,False
4366,40825264,2096142,1485584,20961.42,14855.84,-6105.58,38408584,384085.84,94.08,5.92,False
4367,119311464,2582330,1523815,25823.3,15238.15,-10585.15,116296723,1162967.23,97.47,2.53,False
4369,8319,44,0,0.44,0.0,-0.44,8275,82.75,99.47,0.53,False
4370,5312,0,0,0.0,0.0,0.0,5312,53.120000000000005,100.0,0.0,False
4371,87032,339,3,3.39,0.03,-3.36,86692,866.9200000000001,99.61,0.39,False
4372,908986,96,808,0.96,8.08,7.12,908082,9080.82,99.9,0.1,False
4373,110135,0,0,0.0,0.0,0.0,110135,1101.3500000000001,100.0,0.0,False
4374,13045,0,0,0.0,0.0,0.0,13045,130.45,100.0,0.0,False
10767,4129563,129193,30788,1291.93,307.88,-984.0500000000001,3979615,39796.15,96.37,3.63,False
10769,5376041,0,0,0.0,0.0,0.0,5376041,53760.41,100.0,0.0,False
10772,490836028,4186173,337784,41861.73,3377.84,-38483.89,486554890,4865548.9,99.13,0.87,False
10774,3760262,38,0,0.38,0.0,-0.38,3760224,37602.24,100.0,0.0,False
10775,30376317,249445,10946,2494.4500000000003,109.46000000000001,-2384.9900000000002,30120711,301207.11,99.16,0.84,False
10776,6705117,232794,21915,2327.94,219.15,-2108.79,6462259,64622.59,96.38,3.62,False
10778,3887779,208,0,2.08,0.0,-2.08,3887571,38875.71,99.99,0.01,False
10779,371934517,323254,36842,3232.54,368.42,-2864.12,371587145,3715871.45,99.91,0.09,False
10780,754999494,47492094,2758644,474920.94,27586.440000000002,-447334.5,706860178,7068601.78,93.62,6.38,True
10781,197779175,79781,89358,797.8100000000001,893.58,95.77,197646601,1976466.01,99.93,0.07,False
10782,6685664,144,0,1.44,0.0,-1.44,6685520,66855.2,100.0,0.0,False
10783,17522451,139,0,1.3900000000000001,0.0,-1.3900000000000001,17522312,175223.12,100.0,0.0,False
10784,18825975,41775,5,417.75,0.05,-417.7,18784196,187841.96,99.78,0.22,False
10785,9693219,0,0,0.0,0.0,0.0,9693219,96932.19,100.0,0.0,False
10786,35792695,3217,1,32.17,0.01,-32.160000000000004,35789477,357894.77,99.99,0.01,False
10787,84702625,2270214,147654,22702.14,1476.54,-21225.600000000002,82421787,824217.87,97.31,2.69,False
10788,5125697,348,1,3.48,0.01,-3.47,5125348,51253.48,99.99,0.01,False
15135,2355084,338548,355341,3385.48,3553.41,167.93,1770493,17704.93,75.18,24.82,False
19280,766132,61,0,0.61,0.0,-0.61,766071,7660.71,99.99,0.01,False
19284,1922735,6968,106,69.68,1.06,-68.62,1915703,19157.03,99.63,0.37,False
19285,9583386,2128423,785191,21284.230000000003,7851.91,-13432.320000000002,7241960,72419.6,75.57,24.43,True
19286,56180929,211,0,2.11,0.0,-2.11,56180718,561807.18,100.0,0.0,False
19287,795811,2100,0,21.0,0.0,-21.0,793711,7937.110000000001,99.74,0.26,False
19290,273452,0,0,0.0,0.0,0.0,273452,2734.52,100.0,0.0,False
20054,4558208,16343,3179,163.43,31.79,-131.64000000000001,4538968,45389.68,99.58,0.42,False
20065,55081,764,250,7.640000000000001,2.5,-5.14,54218,542.1800000000001,98.43,1.57,False
20066,141343,3612,71,36.12,0.71,-35.410000000000004,137676,1376.76,97.41,2.59,False
20067,64947421,699298,241024,6992.9800000000005,2410.2400000000002,-4582.74,64207294,642072.9400000001,98.86,1.14,False
20068,25674192,16425,0,164.25,0.0,-164.25,25657767,256577.67,99.94,0.06,False
20069,27353264,16800,11,168.0,0.11,-167.89000000000001,27336453,273364.53,99.94,0.06,False
20070,50943331,84076,7324,840.76,73.24,-767.52,50853540,508535.4,99.82,0.18,False
20071,61305,0,0,0.0,0.0,0.0,61305,613.0500000000001,100.0,0.0,False
20072,2590310,10556,51927,105.56,519.27,413.71000000000004,2528865,25288.65,97.63,2.37,False
20073,15377314,91631,2070,916.3100000000001,20.7,-895.61,15284031,152840.31,99.39,0.61,False
20074,10084654,312,222,3.12,2.22,-0.9,10084120,100841.2,99.99,0.01,False
20076,25920939,1884,7,18.84,0.07,-18.77,25919048,259190.48,99.99,0.01,False
20077,52405842,279322,23222,2793.2200000000003,232.22,-2561.0,52108981,521089.81,99.43,0.57,False
20078,42453077,837188,864112,8371.880000000001,8641.12,269.24,41059102,410591.02,96.72,3.28,False
20079,181104,8241,13763,82.41,137.63,55.22,162786,1627.8600000000001,89.89,10.11,False
20081,36719264,277436,246058,2774.36,2460.58,-313.78000000000003,36292355,362923.55,98.84,1.16,False
20082,1255937,53948,87504,539.48,875.04,335.56,1161010,11610.1,92.44,7.56,False
20083,2789725,5931,8798,59.31,87.98,28.67,2775700,27757.0,99.5,0.5,False
20084,2810660,5161,525,51.61,5.25,-46.36,2804988,28049.88,99.8,0.2,False
20086,1100115,349,1,3.49,0.01,-3.48,1099765,10997.65,99.97,0.03,False
20087,5028488,138403,240541,1384.03,2405.41,1021.38,4717753,47177.53,93.82,6.18,False
