SITE_ID,NAME_ENG,DESIG,layer_name,class_id,class_name,area_ha_2017,area_ha_2024,area_km2_2017,area_km2_2024,area_m2_2017,area_m2_2024,pct_of_zone_2017,pct_of_zone_2024,pixels_2017,pixels_2024,delta_area_ha,delta_pct_points,relative_change_pct
307,Cerro de María Lionza,Monumento Natural (MN),monumento_natural_(mn),1,Water,3.16,11.93,0.0316,0.1193,31600,119300,0.0267219145067861,0.1008836835651769,316,1193,8.77,0.0741617690583908,277.5316455696202
307,Cerro de María Lionza,Monumento Natural (MN),monumento_natural_(mn),2,Trees,11576.67,10562.73,115.7667,105.6273,115766700,105627300,97.89581835863176,89.32163544881823,1157667,1056273,-1013.9400000000005,-8.57418290981353,-8.758477178670555
307,Cerro de María Lionza,Monumento Natural (MN),monumento_natural_(mn),5,Crops,23.16,2.36,0.2316,0.0236,231600,23600,0.1958479556889772,0.0199568728594985,2316,236,-20.8,-0.17589108282947868,-89.81001727115718
307,Cerro de María Lionza,Monumento Natural (MN),monumento_natural_(mn),7,Built area,0.87,1.78,0.0087,0.0178,8700,17800,0.0073569827914253,0.015052217665215,87,178,0.91,0.007695234873789701,104.59770114942528
307,Cerro de María Lionza,Monumento Natural (MN),monumento_natural_(mn),8,Bare ground,0.13,0.21,0.0013,0.0021,1300,2100,0.0010993192676842,0.001775823432413,13,21,0.07999999999999999,0.0006765041647288001,61.53846153846153
307,Cerro de María Lionza,Monumento Natural (MN),monumento_natural_(mn),11,Rangeland,221.51,1246.49,2.2151,12.4649,2215100,12464900,1.8731554691133567,10.540695953659466,22151,124649,1024.98,8.667540484546109,462.7240305178096
308,Las Tetas de María Guevara,Monumento Natural (MN),monumento_natural_(mn),1,Water,198.44,221.59,1.9844,2.2159,1984400,2215900,13.278108250975247,14.827131663644456,19844,22159,23.150000000000006,1.549023412669209,11.665994759121148
308,Las Tetas de María Guevara,Monumento Natural (MN),monumento_natural_(mn),2,Trees,2.99,4.47,0.0299,0.0447,29900,44700,0.2000682507075992,0.2990986891849393,299,447,1.4799999999999995,0.09903043847734011,49.49832775919731
308,Las Tetas de María Guevara,Monumento Natural (MN),monumento_natural_(mn),4,Flooded vegetation,173.95000000000002,186.65,1.7395,1.8665,1739500,1866500,11.639422144008993,12.48921036607806,17395,18665,12.699999999999989,0.8497882220690673,7.30094854843345
308,Las Tetas de María Guevara,Monumento Natural (MN),monumento_natural_(mn),7,Built area,55.03,41.35,0.5503,0.4135,550300,413500,3.6821925874378554,2.7668301561067654,5503,4135,-13.68,-0.91536243133109,-24.85916772669453
