SITE_ID,NAME_ENG,DESIG,DESIG_ENG,IUCN_CAT,STATUS_YR,GIS_AREA,GIS_M_AREA,layer_name,source,class_id,class_name,pixels,area_m2,area_ha,area_km2,pct_of_zone
307,Cerro de María Lionza,Monumento Natural (MN),Natural Monument (MN),III,1960,118.555524240529,0.0,monumento_natural_(mn),2024,1,Water,1193,119300,11.93,0.1193,0.10088368356517695
307,Cerro de María Lionza,Monumento Natural (MN),Natural Monument (MN),III,1960,118.555524240529,0.0,monumento_natural_(mn),2024,2,Trees,1056273,105627300,10562.73,105.6273,89.32163544881823
307,Cerro de María Lionza,Monumento Natural (MN),Natural Monument (MN),III,1960,118.555524240529,0.0,monumento_natural_(mn),2024,5,Crops,236,23600,2.36,0.0236,0.019956872859498542
307,Cerro de María Lionza,Monumento Natural (MN),Natural Monument (MN),III,1960,118.555524240529,0.0,monumento_natural_(mn),2024,7,Built area,178,17800,1.78,0.0178,0.015052217665215
307,Cerro de María Lionza,Monumento Natural (MN),Natural Monument (MN),III,1960,118.555524240529,0.0,monumento_natural_(mn),2024,8,Bare ground,21,2100,0.21,0.0021000000000000003,0.0017758234324130057
307,Cerro de María Lionza,Monumento Natural (MN),Natural Monument (MN),III,1960,118.555524240529,0.0,monumento_natural_(mn),2024,11,Rangeland,124649,12464900,1246.49,12.4649,10.540695953659466
308,Las Tetas de María Guevara,Monumento Natural (MN),Natural Monument (MN),III,1974,15.9707002025744,1.48911915161067,monumento_natural_(mn),2024,1,Water,22159,2215900,221.59,2.2159,14.827131663644455
308,Las Tetas de María Guevara,Monumento Natural (MN),Natural Monument (MN),III,1974,15.9707002025744,1.48911915161067,monumento_natural_(mn),2024,2,Trees,447,44700,4.47,0.044700000000000004,0.29909868918493937
308,Las Tetas de María Guevara,Monumento Natural (MN),Natural Monument (MN),III,1974,15.9707002025744,1.48911915161067,monumento_natural_(mn),2024,4,Flooded vegetation,18665,1866500,186.65,1.8665,12.48921036607806
308,Las Tetas de María Guevara,Monumento Natural (MN),Natural Monument (MN),III,1974,15.9707002025744,1.48911915161067,monumento_natural_(mn),2024,7,Built area,4135,413500,41.35,0.41350000000000003,2.7668301561067654
308,Las Tetas de María Guevara,Monumento Natural (MN),Natural Monument (MN),III,1974,15.9707002025744,1.48911915161067,monumento_natural_(mn),2024,8,Bare ground,30897,3089700,308.97,3.0897,20.673942281313355
