SITE_ID,NAME_ENG,DESIG,DESIG_ENG,IUCN_CAT,STATUS_YR,GIS_AREA,GIS_M_AREA,layer_name,source,class_id,class_name,pixels,area_m2,area_ha,area_km2,pct_of_zone
307,Cerro de María Lionza,Monumento Natural (MN),Natural Monument (MN),III,1960,118.555524240529,0.0,monumento_natural_(mn),change,0,No data,1075065,107506500,10750.65,107.5065,90.6046546907197
307,Cerro de María Lionza,Monumento Natural (MN),Natural Monument (MN),III,1960,118.555524240529,0.0,monumento_natural_(mn),change,1,Water,1060,106000,10.6,0.10600000000000001,0.08933500204374888
307,Cerro de María Lionza,Monumento Natural (MN),Natural Monument (MN),III,1960,118.555524240529,0.0,monumento_natural_(mn),change,2,Trees,6347,634700,63.47,0.6347,0.5349143943129001
307,Cerro de María Lionza,Monumento Natural (MN),Natural Monument (MN),III,1960,118.555524240529,0.0,monumento_natural_(mn),change,5,Crops,9,900,0.09,0.0009000000000000001,0.0007585047343337168
307,Cerro de María Lionza,Monumento Natural (MN),Natural Monument (MN),III,1960,118.555524240529,0.0,monumento_natural_(mn),change,7,Built area,180,18000,1.8,0.018000000000000002,0.015170094686674336
307,Cerro de María Lionza,Monumento Natural (MN),Natural Monument (MN),III,1960,118.555524240529,0.0,monumento_natural_(mn),change,8,Bare ground,21,2100,0.21,0.0021000000000000003,0.001769844380112006
307,Cerro de María Lionza,Monumento Natural (MN),Natural Monument (MN),III,1960,118.555524240529,0.0,monumento_natural_(mn),change,10,Clouds,110,11000,1.1,0.011000000000000001,0.009270613419634317
307,Cerro de María Lionza,Monumento Natural (MN),Natural Monument (MN),III,1960,118.555524240529,0.0,monumento_natural_(mn),change,11,Rangeland,103753,10375300,1037.53,10.375300000000001,8.744126855702902
308,Las Tetas de María Guevara,Monumento Natural (MN),Natural Monument (MN),III,1974,15.9707002025744,1.48911915161067,monumento_natural_(mn),change,0,No data,137549,13754900,1375.49,13.754900000000001,92.0374174467544
308,Las Tetas de María Guevara,Monumento Natural (MN),Natural Monument (MN),III,1974,15.9707002025744,1.48911915161067,monumento_natural_(mn),change,1,Water,3228,322800,32.28,0.32280000000000003,2.159934158140904
308,Las Tetas de María Guevara,Monumento Natural (MN),Natural Monument (MN),III,1974,15.9707002025744,1.48911915161067,monumento_natural_(mn),change,2,Trees,308,30800,3.08,0.0308,0.20609037196635643
308,Las Tetas de María Guevara,Monumento Natural (MN),Natural Monument (MN),III,1974,15.9707002025744,1.48911915161067,monumento_natural_(mn),change,4,Flooded vegetation,2595,259500,25.95,0.2595,1.7363782962749836
308,Las Tetas de María Guevara,Monumento Natural (MN),Natural Monument (MN),III,1974,15.9707002025744,1.48911915161067,monumento_natural_(mn),change,7,Built area,344,34400,3.44,0.0344,0.23017885700138507
308,Las Tetas de María Guevara,Monumento Natural (MN),Natural Monument (MN),III,1974,15.9707002025744,1.48911915161067,monumento_natural_(mn),change,8,Bare ground,317,31700,3.17,0.0317,0.2121124932251136
